id,标题,作者,来源,时间,邮箱
127,基于模型相似度和本地损失的双重客户端选择算法,李红娇;王宝金;王朝晖;胡仁豪,计算机工程,2024-01-02 15:04,
128,基于多绘制管线的大规模并行体绘制性能优化技术,王华维;刘若妍;艾志玮;曹轶,计算机工程,2024-01-02 14:33,
129,3D NAND闪存中氟攻击问题引起的字线漏电的改进,方语萱;夏志良;杨涛;周文犀;霍宗亮,物理学报,2024-01-02 14:33,
130,面向多智能体与双层卸载的车联网卸载方法,张冀;龚雯雯;朵春红;齐国梁,计算机工程,2024-01-02 12:08,
131,基于机器学习的铆钉缺陷检测技术,王慧;舒琪;蒋朝根,计算机应用与软件,2024-01-02 11:08,
132,基于.NET的航天电磁继电器电寿命试验系统分析软件设计与实现,孙志刚;王国涛;高萌萌;吴耀阳;蒋爱平,计算机应用与软件,2024-01-02 10:57,
133,基于位置隐私保护的空间众包任务分配方法,王琦;高铭,计算机应用与软件,2024-01-02 10:25,
134,基于SDAE的连续梁桥损伤识别方法研究,王鹏,铁道建筑技术,2024-01-02 10:04,
135,基于变参数的logistic混沌系统图像加密算法,赵耿;李文健;马英杰,计算机应用与软件,2024-01-02 09:51,
136,边缘计算资源调度:历史、架构、建模与方法分析,周绪;苗辉;杨静;江武;廖晓燕;,计算机集成制造系统,2024-01-02 09:07,
137,改进YOLOv7算法的钢材表面缺陷检测研究,高春艳;秦燊;李满宏;吕晓玲,计算机工程与应用,2024-01-02 08:43,
138,互联网对碳排放强度的影响,刘鑫雨,合作经济与科技,2024-01-02,
139,基于物联网的电力变压器过热故障红外检测系统设计,温启良;文华,电子设计工程,2024-01-02,
140,基于多目标粒子群与模糊控制的AMT自适应换挡规律研究,杜娟;杨振东;黄建刚;刘晓东,西南大学学报(自然科学版),2024-01-02,
141,The embeddings world and Artificial General Intelligence,Haghir Chehreghani Mostafa,Cognitive Systems Research,2024-01-02,
142,Computer vision to advance the sensing and control of built environment towards occupant-centric sustainable development: A critical review,Wang Junqi;Jiang Lanfei;Yu Hanhui;Feng Zhuangbo;Castaño-Rosa Raúl,Renewable and Sustainable Energy Reviews,2024-01-02,
143,Computerized tomography analysis of potential geochemical reactions of carbonate rocks during underground hydrogen storage,Al-Yaseri Ahmed;Rizwanullah Hussaini Syed;Fatah Ahmed;Al-Qasim Abdulaziz S.;Patil Pramod D.,Fuel,2024-01-02,
144,Multifunctional nanoplatform based on tetragonal BaTiO3-Au@polydopamine for computed tomography imaging-guided photothermal synergistic and enhanced piezocatalytic cancer therapy,Xu Qi;Chen Gong;Hu Han;Mo Zhimin;Chen Wenqiu,Journal of Colloid And Interface Science,2024-01-02,
145,Establishment of an institutional diagnostic reference level for vascular lower extremity computed tomography angiography,Sulieman Abdelmoneim;Alkhorayef Mohammed;Alkhaybari Essam;Jaafar Rasha;Elnour Abdelrahman,Radiation Physics and Chemistry,2024-01-02,
146,Feature rectification and enhancement for no-reference image quality assessment,Wu Wei;Huang Daoquan;Yao Yang;Shen Zhuonan;Zhang Hua,Journal of Visual Communication and Image Representation,2024-01-02,
147,A computer aided system for skin cancer detection based on Developed version of the Archimedes Optimization algorithm,Ding Huan;Huang Qirui;Alkhayyat Ahmed,Biomedical Signal Processing and Control,2024-01-02,
148,Utilizing semantic-level computer vision for fracture trace characterization of hard rock pillars in underground space,Li Chuanqi;Zhou Jian;Dias Daniel,Geoscience Frontiers,2024-01-02,
149,Systematic review on weapon detection in surveillance footage through deep learning,Santos Tomás;Oliveira Hélder;Cunha António,Computer Science Review,2024-01-02,
150,Straight Leg Raise Cannot Replace Computed Tomography in the Detection of Spinal Column Fractures Straight Leg Raise for Spinal Fractures,Hohenleitner Julien;Saporito Richard;Hirsch Mitchell;Ravikumar Vaishali;Gawdi Rohin,Journal of Surgical Research,2024-01-02,
151,High-throughput screening of oxygen ion conductors with BaaXbOc and SrdYeOf compositions: Crystallochemical and DFT-calculations,Kabanova Natalia A.;Galstyan Marya A.;Frolov Eugeny I.,Solid State Ionics,2024-01-02,
152,Machine learning and computer vision techniques in continuous beehive monitoring applications: A survey,Bilik Simon;Zemcik Tomas;Kratochvila Lukas;Ricanek Dominik;Richter Miloslav,Computers and Electronics in Agriculture,2024-01-02,
153,Vision-based autonomous navigation stack for tractors operating in peach orchards,Xu Shengli;Rai Rahul,Computers and Electronics in Agriculture,2024-01-02,
154,NURBS-enhanced finite element method (NEFEM) on quadrilateral meshes,Montanari Mattia;Santi Gian Maria;Sevilla Ruben;Alfredo Liverani;Petrinic Nik,Finite Elements in Analysis & Design,2024-01-02,
155,A hybrid decision support system for adaptive trading strategies: Combining a rule-based expert system with a deep reinforcement learning strategy,Kwon Yuhee;Lee Zoonky,Decision Support Systems,2024-01-02,
156,Computer-assisted analysis of routine EEG to identify hidden biomarkers of epilepsy: A systematic review,Lemoine Émile;Neves Briard Joel;Rioux Bastien;Gharbi Oumayma;Podbielski Renata,Computational and Structural Biotechnology Journal,2024-01-02,
157,Computer vision-based six layered ConvNeural network to recognize sign language for both numeral and alphabet signs,Rahaman Muhammad Aminur;Oyshe Kabiratun Ummi;Chowdhury Prothoma Khan;Debnath Tanoy;Rahman Anichur,Biomimetic Intelligence and Robotics,2024-01-02,
158,Corrigendum to “Expanding the Gordon-Loeb model to cyber-insurance” [Computers & Security Volume 112 (2022) 102533],Skeoch Henry R.K.,Computers & Security,2024-01-02,
159,Fluorescent nucleic acid probes for DNA repair enzymes: Design strategies and applications,Luan Xinyu;Tang Xiaoyan;Deng Jiewei;Yang Yunyun;Zhai Junqiu,Trends in Analytical Chemistry,2024-01-02,
160,Visual Attention and ODE-inspired Fusion Network for image dehazing,Yin Shibai;Yang Xiaolong;Lu Ruyuan;Deng Zhen;Yang Yee-Hong,Engineering Applications of Artificial Intelligence,2024-01-02,
161,"Automated guided vehicle (AGV) lane-keeping assist based on computer vision, and fuzzy logic control under varying light intensity",Munadi M.;Radityo Bagas;Ariyanto Mochammad;Taniai Yoshiaki,Results in Engineering,2024-01-02,
162,The quantum house of cards.,Waintal Xavier,Proceedings of the National Academy of Sciences of the United States of America,2024-01-02,
